armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,2054,35260,2635,1,0,888,888,3373
158,2313,1588,2603,512,256,24,202,59,2101,35300,2339,1,0,884,884,158
2773,1518,1368,1613,512,256,57,-56,170,1371,-102960,102960,0,1,640,640,2776
1593,1853,2333,2303,512,256,144,147,89,1280,38280,2745,1,0,586,586,1593
3373,1203,1078,2568,512,256,-91,-328,224,499306,-85167,2807,1,0,1822,434,3376
1023,2093,1638,2058,512,256,-128,-28,473,1493,-141239,141239,0,1,697,697,1020
2198,1983,1793,2178,512,256,20,205,301,710,40690,2587,1,0,345,345,2195
343,1463,2133,1243,512,256,-48,-370,136,614,-121632,121632,0,1,318,318,343
538,2358,1928,2798,512,256,242,143,37,1236,38190,2983,1,0,595,595,541
1053,3008,2678,2643,512,256,160,200,48,2089,35010,2828,1,0,913,913,1056
1568,1333,1258,2208,512,256,50,435,125,408186,-84866,2996,1,0,1414,323,1571
223,1818,1313,2638,512,256,-187,224,341,617356,-36714,18931,0,0,3414,1502,226
3453,1203,1858,1133,512,256,-156,-324,182,783386,-96081,25040,0,0,3414,740,3456
2128,1973,1873,1948,512,256,60,156,180,1787,38220,2974,1,0,592,592,2128
3798,2073,2093,1823,512,256,-234,-160,360,791722,-29417,15682,0,0,3414,501,3795
3493,1143,2173,2088,512,256,60,325,219,75395,-503740,335691,0,1,714,433,3496
3418,1853,2573,1108,512,256,215,175,402,122106,32780,2398,1,0,1136,736,3415
3668,1133,2793,2263,512,256,-352,21,259,354889,-31052,31052,0,0,3414,2114,3668
2483,1493,1593,1025,512,256,285,-182,319,1147,-370645,370645,0,1,573,573,2486
1828,2258,2498,2158,512,256,162,273,226,988,39610,2904,1,0,453,453,1828
3988,1503,1148,2913,512,256,-257,-59,475,821341,-45856,21213,0,0,3414,589,3985
3633,1583,2138,1693,512,256,30,-346,134,963,-33041,33041,0,1,371,371,3636
1078,1048,2708,2658,512,256,285,238,74,2319,32730,2505,1,0,1141,1141,1078
2118,1448,1468,2483,512,256,80,-157,378,1433,-82508,82508,0,1,690,690,2121
1088,2908,2423,2938,512,256,391,130,75,99,-35583,35583,0,1,60,60,1091
688,2408,2413,1228,512,256,75,-212,376,310828,-93895,2773,1,0,2172,883,685
2983,1153,2168,2853,512,256,96,120,484,833,-69715,69715,0,1,421,421,2986
938,1813,1253,2348,512,256,-103,194,338,1455,-140699,140699,0,1,633,633,941
3868,1328,1253,1943,512,256,-72,88,194,2071,-96903,96903,0,1,750,750,3865
658,1673,1478,2768,512,256,-11,312,275,70623,-87068,2707,1,0,850,563,661
3943,2128,1393,2913,512,256,193,-262,188,274,-194232,194232,0,1,110,110,3943
238,1588,2923,1513,512,256,341,49,337,55795,-77679,2706,1,0,780,597,238
2623,1613,1128,2423,512,256,78,-339,29,1287,-271754,271754,0,1,468,468,2626
3983,2223,2133,2068,512,256,35,-82,448,1298,-36863,36863,0,1,464,464,3983
428,1118,2913,1768,512,256,188,-342,82,95247,-78297,2757,1,0,2067,1690,431
1968,2443,2373,3003,512,256,328,283,86,183767,-14072,2645,1,0,1267,446,1968
3378,1728,1793,1898,512,256,-175,102,164,96918,-179941,179941,0,1,1609,1209,3378
