armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,1567,35260,2635,1,0,888,888,3373
158,2313,1588,2603,512,256,24,202,59,1809,35300,2339,1,0,884,884,158
2773,1518,1368,1613,512,256,57,-56,170,1046,-102960,102960,0,1,640,640,2776
1593,1853,2333,2303,512,256,144,147,89,906,38280,2745,1,0,586,586,1593
3373,1203,1078,2568,512,256,-91,-328,224,357461,4203,2750,1,0,1764,561,3376
1023,2093,1638,2058,512,256,-128,-28,473,1136,-141239,141239,0,1,697,697,1020
2198,1983,1793,2178,512,256,20,205,301,581,40690,2587,1,0,345,345,2195
343,1463,2133,1243,512,256,-48,-370,136,430,-121632,121632,0,1,318,318,343
538,2358,1928,2798,512,256,242,143,37,947,38190,2983,1,0,595,595,541
1053,3008,2678,2643,512,256,160,200,48,15389,35010,2828,1,0,913,913,1056
1568,1333,1258,2208,512,256,50,435,125,349638,-2658,2275,1,0,1597,487,1571
223,1818,1313,2638,512,256,-187,224,341,708401,-16844,16844,0,0,3414,1664,226
3453,1203,1858,1133,512,256,-156,-324,182,126812,-41961,2080,1,0,932,488,3456
2128,1973,1873,1948,512,256,60,156,180,1431,38220,2974,1,0,592,592,2128
3798,2073,2093,1823,512,256,-234,-160,360,62857,2159,2010,1,0,316,213,3795
3493,1143,2173,2088,512,256,60,325,219,89444,-384634,332501,0,1,447,260,3496
3418,1853,2573,1108,512,256,215,175,402,225139,4142,2214,1,0,1590,987,3415
3668,1133,2793,2263,512,256,-352,21,259,126894,-64679,2219,1,0,1412,1013,3668
2483,1493,1593,1025,512,256,285,-182,319,1108,-370645,370645,0,1,573,573,2486
1828,2258,2498,2158,512,256,162,273,226,976,39610,2904,1,0,453,453,1828
3988,1503,1148,2913,512,256,-257,-59,475,1075819,-34119,14167,0,0,3414,545,3985
3633,1583,2138,1693,512,256,30,-346,134,882,-33041,33041,0,1,371,371,3636
1078,1048,2708,2658,512,256,285,238,74,2258,32730,2505,1,0,1141,1141,1078
2118,1448,1468,2483,512,256,80,-157,378,1352,-82508,82508,0,1,690,690,2121
1088,2908,2423,2938,512,256,391,130,75,104,-35583,35583,0,1,60,60,1091
688,2408,2413,1228,512,256,75,-212,376,742938,-48126,41185,0,0,3414,1658,685
2983,1153,2168,2853,512,256,96,120,484,806,-69715,69715,0,1,421,421,2986
938,1813,1253,2348,512,256,-103,194,338,1503,-140699,140699,0,1,633,633,941
3868,1328,1253,1943,512,256,-72,88,194,164192,-118262,71441,0,1,1170,836,3865
658,1673,1478,2768,512,256,-11,312,275,83925,35940,2808,1,0,820,570,661
3943,2128,1393,2913,512,256,193,-262,188,221,-194232,194232,0,1,110,110,3943
238,1588,2923,1513,512,256,341,49,337,34776,37080,2695,1,0,706,606,238
2623,1613,1128,2423,512,256,78,-339,29,1151,-271754,271754,0,1,468,468,2626
3983,2223,2133,2068,512,256,35,-82,448,1385,-36863,36863,0,1,464,464,3983
428,1118,2913,1768,512,256,188,-342,82,550121,-50313,34906,0,0,3414,1698,431
1968,2443,2373,3003,512,256,328,283,86,225732,-10163,2601,1,0,1272,555,1968
3378,1728,1793,1898,512,256,-175,102,164,464830,-51861,51861,0,1,2828,1378,3378
2963,1793,1443,1998,512,256,290,51,253,82722,-31523,2719,1,0,858,620,2960
1563,1388,1378,2368,512,256,-132,-161,206,33003,-133299,133299,0,1,865,765,1563
3603,1583,2383,1148,512,256,91,40,508,242907,-27763,2776,1,0,1562,979,3600
1003,2448,2508,2478,512,256,190,47,119,2142,34019,2973,1,0,1012,1012,1006
623,2603,2718,1378,512,256,-311,162,329,416642,-36684,36684,0,0,3414,2214,626
2608,1248,1113,2263,512,256,73,-60,481,670,-295142,295142,0,1,323,323,2611
2313,1293,2768,2933,512,256,-238,117,415,579315,-34736,34736,0,0,3414,2064,2313
3108,1848,2028,1593,512,256,137,-64,224,2613,-155006,155006,0,1,850,850,3111
3253,2383,2238,2083,512,256,-205,-199,392,906,41140,2249,1,0,300,300,3256
1333,1793,1288,1998,512,256,420,114,150,264207,33600,1694,1,0,1054,254,1336
198,2473,2368,1828,512,256,-224,308,149,107296,-15344,2392,1,0,1334,1064,201
68,2453,2493,2548,512,256,297,182,267,35368,35820,1919,1,0,832,732,68
693,2228,2253,1098,512,256,250,209,415,634662,-8849,8849,0,0,3414,1514,696
1923,1743,2653,1513,512,256,-37,136,172,167000,27280,2982,1,0,1686,1186,1923
568,1178,2673,2133,512,256,-233,-102,250,46238,-216723,154844,0,1,518,377,571
1813,1283,1618,1473,512,256,-149,181,90,110493,34170,2456,1,0,997,647,1813
3553,2383,3048,1803,512,256,264,-298,284,7560,-574807,499006,0,1,75,44,3553
3183,1803,2783,2718,512,256,100,191,135,43804,-232286,157814,0,1,446,273,3186
1598,2383,3058,2273,512,256,185,217,78,2248,35700,2906,1,0,844,844,1598
2668,1803,1738,1428,512,256,-336,67,201,706367,-49467,13307,0,0,3414,929,2665
1903,2568,2313,2848,512,256,-232,-138,147,45215,-333758,333758,0,1,886,736,1903
4073,2573,2813,1148,512,256,-133,-121,307,2026,37360,2735,1,0,678,678,4070
273,1873,1788,3033,512,256,264,33,455,893477,-51678,10850,0,0,3414,673,276
1548,2793,2848,2988,512,256,-266,11,27,229,-576397,576397,0,1,93,93,1548
223,1823,1738,1928,512,256,-38,115,9,318,-402942,402942,0,1,138,138,223
3188,2598,2028,2748,512,256,-199,-74,435,862,41320,2864,1,0,282,282,3191
1268,1113,1618,1293,512,256,-323,-134,244,872,-324890,324890,0,1,423,423,1265
